cell,n_closed,n_open,ret_min,ret_p1,ret_p5,ret_p25,ret_median,ret_max,mae_median,mae_p5,mae_min,hold_median,hold_p90,hold_max
b_50_80|recent_cross|k_over_80,193,2,-0.5344888703813928,-0.26340505067190184,-0.10471355386670426,0.0037513788355378885,0.02889551448551364,0.22671270654197873,-0.027057656037655753,-0.26587260742885743,-0.6554651710858637,5.0,35.80000000000001,124
b_20_80|both|k_over_80,484,3,-0.5344888703813928,-0.2599899846115405,-0.11805631545963204,0.0004367881447822075,0.02444601770073429,0.3120534166666289,-0.027590545794846155,-0.26625552906520233,-0.6554651710858637,5.0,39.0,124
