stage,band,macd_mode,exit,n_closed,n_open,win_rate,base_rate,z,p_value,expected_wins,wins,mean_ret,median_ret,mean_hold_bars,median_hold_bars,profit_factor,edge_pp
S,CALENDAR,none,k_over_80,1695,8,0.6914454277286136,0.5561401864985667,11.26353209245661,9.931720654567528e-30,942.6576161150706,1172,0.018101125071357655,0.02098506648189158,20.418289085545723,12.0,1.6078505402090553,13.530524123004694
V1,CALENDAR,none,k_over_80,1084,9,0.6992619926199262,0.581457742797867,7.863927179097627,1.861370071295209e-15,630.3001931928878,758,0.021026569975286256,0.021286572537149495,15.566420664206642,9.0,2.1951860427049903,11.780424982205917
V2,CALENDAR,none,k_over_80,2584,19,0.7027863777089783,0.569814023148503,13.68627314789184,6.132003750165042e-43,1472.399435815732,1816,0.028605963777721115,0.026144417259656105,17.686532507739937,11.0,2.4535923497075887,13.29723545604753
