ticker,days,median_dollar_volume,half_spread_bps,zero_volume_share,participation,cap_tier,fail_participation,fail_dollar_volume,fail_zero_volume,dropped,fail_history
THO,4184,37308029.135131836,11.0163584679773,0.0,1.7154484298323106e-05,mid,False,False,False,False,False
TKR,4184,29189527.116203308,4.946659042364221,0.0,2.1925672089587625e-05,mid,False,False,False,False,False
TLN,808,169020846.83303833,10.418174938905294,0.0037128712871287127,3.7865151665711563e-06,mid,False,False,False,True,True
TNL,4184,38076516.41084385,5.16417568071691,0.0,1.6808260322305476e-05,mid,False,False,False,False,False
TOL,4184,77481101.17397308,15.781594885218176,0.0,8.260078784411809e-06,mid,False,False,False,False,False
TOST,1234,160426029.2233467,18.02488547167941,0.0,3.989377553619966e-06,mid,False,False,False,True,True
TREX,4184,27403367.474746704,15.016638677971983,0.0,2.3354793916834692e-05,mid,False,False,False,False,False
TRU,2806,87172299.76539612,11.48979004030848,0.0,7.341781755470608e-06,mid,False,False,False,False,False
TTC,4184,24707403.49960327,11.142818695855661,0.0,2.5903167041015723e-05,mid,False,False,False,False,False
TTEK,4184,15565659.976005554,16.22948837055418,0.0,4.111614933042089e-05,mid,False,False,False,False,False
TTMI,4184,8976393.319749832,18.80993322334493,0.0,7.129812355613629e-05,mid,False,False,False,False,False
TWLO,2555,272166348.79989624,16.44149179356979,0.0,2.351503052534039e-06,mid,False,False,False,False,False
TXNM,4184,14185524.349880219,9.608466577146562,0.0,4.5116414748912975e-05,mid,False,False,False,False,False
TXRH,4184,34655111.85588837,17.29625953987389,0.0,1.8467693962766864e-05,mid,False,False,False,False,False
UBSI,4184,10843264.762973785,19.249155360123176,0.0,5.902281406845209e-05,mid,False,False,False,False,False
UFPI,4184,10191070.851516724,22.37338449641629,0.0,6.280007364532743e-05,mid,False,False,False,False,False
UGI,4184,26058575.655078888,10.705818119614637,0.0,2.4560053030959204e-05,mid,False,False,False,False,False
ULS,592,43237969.5148468,29.873789113623985,0.0,1.4801805153691145e-05,mid,False,False,False,True,True
UMBF,4184,11052071.271896362,19.539694212503868,0.0,5.790769750349122e-05,mid,False,False,False,False,False
UNM,4184,44495234.11369324,7.495732505980105,0.0,1.4383562930912694e-05,mid,False,False,False,False,False
USFD,2574,68322533.26721191,13.551884238342039,0.0,9.367334163341641e-06,mid,False,False,False,False,False
UTHR,4184,61637049.16381836,27.27331017575034,0.0,1.0383365340852288e-05,mid,False,False,False,False,False
VAL,1333,51619517.23022461,17.61412956588767,0.0,1.239841118903884e-05,mid,False,False,False,False,False
VC,3994,28390420.933151245,9.820737355672714,0.0007511266900350526,2.2542814758081927e-05,mid,False,False,False,False,False
VFC,4184,103836227.29845047,6.808132683153124,0.0,6.163552130611265e-06,mid,False,False,False,False,False
VIAV,4184,29097118.69604826,16.04092989192203,0.0,2.1995304988288058e-05,mid,False,False,False,False,False
VICR,4184,3724870.8560943604,24.629054957338358,0.0,0.00017181803738319651,mid,False,False,False,False,False
VLY,4184,13476955.170726776,15.348245246496097,0.0,4.748847138633663e-05,mid,False,False,False,False,False
VMI,4184,20795593.38760376,10.508041672965422,0.0,3.077575080793336e-05,mid,False,False,False,False,False
VNO,4184,53014865.828100204,12.696505394911728,0.0,1.2072085631135785e-05,mid,False,False,False,False,False
VNOM,3063,7160478.332519531,29.73778085714952,0.0,8.937950375373953e-05,mid,False,False,False,False,False
VNT,1484,31194572.486114502,15.22959989821065,0.0006738544474393531,2.0516389518878013e-05,mid,False,False,False,False,False
VOYA,3347,57011611.14845276,11.132123805904044,0.0,1.1225783434421832e-05,mid,False,False,False,False,False
VVV,2491,35461912.36495972,11.478399967270814,0.0,1.8047532051102542e-05,mid,False,False,False,False,False
WAL,4184,25763136.831474304,14.978597342677215,0.0,2.4841695488653574e-05,mid,False,False,False,False,False
WBS,4172,20153578.543462753,9.284550356613469,0.0007190795781399808,3.175614686095526e-05,mid,False,False,False,False,False
WCC,4184,36397603.01609039,9.005347008382158,0.0,1.7583575482074284e-05,mid,False,False,False,False,False
WEX,4184,40546872.7355957,11.368843533712573,0.0,1.5784201266850113e-05,mid,False,False,False,False,False
WFRD,1415,49250279.539871216,23.12315895006192,0.0,1.2994850099924399e-05,mid,False,False,False,False,False
WH,2075,50967053.75328064,10.622866877864924,0.00048192771084337347,1.255713157558778e-05,mid,False,False,False,False,False
WHR,4184,85821064.6118164,8.893272937168797,0.0,7.457376611381265e-06,mid,False,False,False,False,False
WING,2815,52233698.74572754,27.167488495587715,0.0,1.2252626472337436e-05,mid,False,False,False,False,False
WLK,4184,42010324.75090027,4.687246488856926,0.0,1.5234350217354247e-05,mid,False,False,False,False,False
WMG,1563,38067073.47793579,20.869070136880698,0.0,1.6812429785834547e-05,mid,False,False,False,False,False
WMS,3037,24148326.006889343,13.907465581436659,0.0,2.650287228263411e-05,mid,False,False,False,False,False
WPC,4184,20089716.079216003,13.632959882544897,0.0,3.185709531565345e-05,mid,False,False,False,False,False
WSO,4184,26090754.133987427,15.487002698165432,0.0,2.4529762409829945e-05,mid,False,False,False,False,False
WTFC,4184,18257431.30645752,17.492346458767212,0.0,3.5054219252279845e-05,mid,False,False,False,False,False
WTRG,4184,19924683.407592773,11.147318397649673,0.0,3.2120962070399215e-05,mid,False,False,False,False,False
WTS,4184,10632162.126922607,11.355607667351832,0.0,6.0194717909671564e-05,mid,False,False,False,False,False
WWD,4184,20051669.073486328,15.773514023789089,0.0,3.191754250753376e-05,mid,False,False,False,False,False
XPO,4184,64626149.654836655,19.011376644948776,0.0,9.903112028462028e-06,mid,False,False,False,False,False
XRAY,4184,50622094.89631653,12.442191235280445,0.0,1.2642700807045601e-05,mid,False,False,False,False,False
YETI,1965,55080522.33581543,6.657199346310404,0.0,1.1619352410967387e-05,mid,False,False,False,False,False
ZION,4184,62791257.50312805,11.22077533938421,0.0,1.0192501718382011e-05,mid,False,False,False,False,False
AAMI,2984,5319711.518192291,16.158505826558113,0.0,0.00012030727565044363,small,False,False,False,False,False
AAP,4184,98044536.37275696,14.831687346487223,0.0,6.527645738124301e-06,small,False,False,False,False,False
AAT,3924,5188825.552749634,15.918262238262825,0.0,0.00012334197661759022,small,False,False,False,False,False
ABCB,4184,8129274.900436401,19.375192954521374,0.0,7.872780879456335e-05,small,False,False,False,False,False
ABG,4184,18549556.745147705,15.05054707032701,0.0,3.450217214313839e-05,small,False,False,False,False,False
ABM,4184,9585517.703151703,14.88473016057636,0.0,6.676739012120013e-05,small,False,False,False,False,False
ABR,4184,2815231.6583156586,19.355839905999158,0.0,0.00022733475524458593,small,False,False,False,False,False
ACA,1958,14032098.484039307,10.726842791366566,0.0,4.560971409429336e-05,small,False,False,False,False,False
ACAD,4184,31796136.179351807,36.3168119790216,0.0002390057361376673,2.0128231820054023e-05,small,False,False,False,False,False
ACHC,4184,27232650.569152832,26.296472486034094,0.0016730401529636712,2.3501201191372296e-05,small,False,False,False,False,False
ACIW,4184,14012757.850551605,17.028761770245605,0.0,4.567266535436539e-05,small,False,False,False,False,False
ACLS,4184,4784016.093528271,30.467152673216788,0.0,0.00013377881417785787,small,False,False,False,False,False
ACMR,2211,16184750.547409058,14.324221874211682,0.0,3.954339599645264e-05,small,False,False,False,False,False
ACT,1238,6436382.421112061,13.238153812396153,0.0,9.943473804488805e-05,small,False,False,False,True,True
ADAM,4184,2517513.041073084,16.06536647320764,0.0,0.00025421913990451525,small,False,False,False,False,False
ADEA,4184,5818671.476703882,21.061900396752037,0.0004780114722753346,0.00010999074317262235,small,False,False,False,False,False
ADIG,17,33458859.029388428,36.72067341904152,0.0,1.9127968453373114e-05,small,False,False,False,True,True
ADMA,3230,2916724.991095066,33.54381993371105,0.01021671826625387,0.00021942418361482754,small,False,False,True,True,False
ADNT,2475,30139199.771881104,6.434973608006684,0.00040404040404040404,2.123480400422241e-05,small,False,False,False,False,False
ADT,2159,18823316.076660156,16.827752333337266,0.0,3.400038534089983e-05,small,False,False,False,False,False
ADUS,4184,4004301.5056610107,25.871566044642588,0.0004780114722753346,0.00015982812460430646,small,False,False,False,False,False
AEO,4184,57219895.65372467,17.608507363732922,0.0,1.1184920781279682e-05,small,False,False,False,False,False
AESI,867,17640012.946891785,17.6225889639626,0.0,3.628115250974176e-05,small,False,False,False,True,True
AGNT,2146,9392227.149534225,29.327385711053182,0.0,6.814145248092073e-05,small,False,False,False,False,False
AGO,4184,23237489.176940918,9.095855220451885,0.0,2.7541701907927573e-05,small,False,False,False,False,False
AGX,4184,3038617.9586410522,20.972462154472495,0.0007170172084130019,0.00021062206855587215,small,False,False,False,False,False
AGYS,4184,1385028.9702892303,24.67158842017966,0.0,0.0004620841973192454,small,False,False,False,False,False
AHCO,2068,9646991.960382462,4.676080220063515,0.08172147001934237,6.634192322625577e-05,small,False,False,True,True,False
AIN,4184,5992746.470546722,15.921207928727561,0.0,0.00010679577438249484,small,False,False,False,False,False
AIR,4184,7639317.406463623,13.418615991972139,0.0,8.377711854968826e-05,small,False,False,False,False,False
