cap_tier,names,half_spread_median_bps,half_spread_p90_bps,round_trip_median_bps,median_dollar_volume
large,500,10.047212387709925,15.59489772934579,50.09442477541985,134602176.42059326
mid,397,14.33802065550208,22.87664760734669,58.676041311004155,29318044.97089386
small,601,18.92057064805444,30.24372871350694,67.84114129610887,10261278.995132446
