capital_gbp,order_per_leg_gbp,order_per_leg_usd,names_passing,median_participation,p95_participation
10000.0,500.0,640.0,1484,2.0001959485294575e-05,0.00019523439237450224
50000.0,2500.0,3200.0,1411,0.00010000979742647289,0.0009761719618725112
100000.0,5000.0,6400.0,1289,0.00020001959485294577,0.0019523439237450224
500000.0,25000.0,32000.0,742,0.001000097974264729,0.009761719618725113
1000000.0,50000.0,64000.0,501,0.002000195948529458,0.019523439237450226
5000000.0,250000.0,320000.0,97,0.01000097974264729,0.09761719618725113
