date,all|MN|free,all|MN|spread,all|L2|free,all|L2|spread,large|MN|free,large|MN|spread,large|L2|free,large|L2|spread,mid|MN|free,mid|MN|spread,mid|L2|free,mid|L2|spread,small|MN|free,small|MN|spread,small|L2|free,small|L2|spread
2011-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-04,0.0006438324577930921,0.00044480850411468076,-0.0009222777980915364,-0.0010929899420822752,8.175635249614843e-05,-0.0001828329601102803,1.0723822579705721e-05,-0.0002348216006997546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-05,0.00044109158788865064,0.00044109158788865064,-0.0011409397051570125,-0.0011409397051570125,-0.0009842298659324482,-0.0012167333069199892,-0.0006696672944438153,-0.0009087168777213616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-06,0.00010177734858029253,0.00010177734858029253,-0.0005494566480451823,-0.0005494566480451823,0.0014149303393368063,0.0014149303393368063,0.0012785360144302537,0.0012785360144302537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-07,0.0005285640780975292,0.0004036844208143586,0.0002791135107960474,0.00014938093127161693,-0.0001171778347339808,-0.0001171778347339808,0.00016441720713460394,0.00016441720713460394,-0.00011746484549392533,-0.00024234450277709597,-0.0005542291748462435,-0.0006839617543706741,-0.00013091352186759276,-0.00031340027361596715,9.259181760353785e-05,-0.00010929246973124968
2011-01-10,0.0004298310166906849,0.0004298310166906849,0.0006393485833716906,0.0006393485833716906,1.976309562859435e-06,1.976309562859435e-06,0.0003377961287546749,0.0003377961287546749,-0.0005580849031781632,-0.001314561091378912,0.002567944540823752,0.001775921446880996,-0.002721950572036677,-0.0028759165664953,-0.005071295160647244,-0.005223988199184683
2011-01-11,-0.0010839245294833183,-0.0012099471873347864,0.0011036357995265645,0.0009792114923716348,6.243992849320756e-05,-6.358272935826042e-05,-0.0001648042893869439,-0.0002892285965418736,0.00035034425359606325,0.00035034425359606325,0.0011557166710018884,0.0011557166710018884,0.0031004390988612156,0.0031004390988612156,0.007112422933819712,0.007112422933819712
2011-01-12,-0.0017713633863726624,-0.0019425065781325899,0.0007708620932152354,0.0005743999814777519,-0.0004957177070572749,-0.0004957177070572749,0.0023356575563255764,0.0023356575563255764,-0.00041925291825908596,-0.0006921460608673537,0.0023719218173287094,0.002092197155135183,0.003133198970673301,0.003133198970673301,0.007235615557979314,0.007235615557979314
2011-01-13,-0.0011873413117775926,-0.0013122209690607633,-0.0022758085854405084,-0.002405541164964939,-0.00034524587556571953,-0.00034524587556571953,0.0001640670691128221,0.0001640670691128221,0.0017127149290853878,0.001429655387886966,-0.0006564378348882571,-0.0009481383785515069,0.002689384084479196,0.002538300003413068,0.0038471875411944688,0.0037002583294420176
2011-01-14,0.0010142906707983623,0.0010142906707983623,0.00462387293446419,0.00462387293446419,3.919121867402564e-05,-8.565860140469063e-05,0.0013862566039203495,0.0012604899925455434,-0.0020780668125431057,-0.0020780668125431057,0.00827796086763084,0.00827796086763084,0.003180870041076961,0.0030051669384178552,0.008990763813400016,0.00880970062742423
