config,alpha_ann,alpha_t,beta,beta_t,r2,n
coint|MN|free,0.005284877774003228,1.3608425147719294,0.003480395155811239,1.4833644060593072,0.0013088789161164183,3906
coint|MN|actual,-0.0031406941161827378,-0.8052910430661209,0.0035312844863609606,1.4880581592708635,0.0013467631973682614,3906
coint|MN|worst,-0.005773685331865742,-1.4751415029966803,0.003547187402157757,1.4891208742340654,0.0013567428726347641,3906
coint|L1|free,0.03744363801940148,1.5596876874082408,0.9975390339241894,59.38763979931795,0.7823783585504638,3906
coint|L1|actual,0.029643953514100426,1.2369259761657772,0.9973707107930245,59.35532503309941,0.7822472911621094,3906
coint|L1|worst,0.027206552106193806,1.1356544828453548,0.9973181098145358,59.344181413354306,0.7821561461833519,3906
coint|L2|free,0.006858452030221483,0.6293985449149713,0.2397964081217287,8.523022593538252,0.46141664117932724,3906
coint|L2|actual,-0.0015671198599646959,-0.14380216320608646,0.2398472974522784,8.525289147764731,0.461461408251049,3906
coint|L2|worst,-0.0042001110756477765,-0.38528970295966003,0.23986320036807537,8.525980223222632,0.46142573244193097,3906
dist|MN|free,0.0016594093268610507,0.6802052237176506,0.004305781018290703,2.808818126060374,0.005510831085542844,3906
dist|MN|actual,-0.004636189311997558,-1.8684291520526255,0.004437757291010823,2.860881558528478,0.005808250678433935,3906
dist|MN|worst,-0.006603563886640842,-2.641840898116301,0.0044789998762358495,2.8752406165062023,0.005888601390589665,3906
dist|L1|free,0.027933517555257425,1.1679661745156282,0.8357492050825812,17.30527212537585,0.7095053543331402,3906
dist|L1|actual,0.021081877908755636,0.8813714984298912,0.8355919483926412,17.295770735863606,0.7092921170890177,3906
dist|L1|worst,0.018940740519223828,0.791733964935995,0.8355428056770343,17.292769139780695,0.7091687906601508,3906
dist|L2|free,0.0018396054947771212,0.20034216095124574,0.25129841642626216,26.3168550911801,0.5564523524551634,3906
dist|L2|actual,-0.004455993144081864,-0.48608904614000553,0.25143039269898226,26.363337907025183,0.5564780288151794,3906
dist|L2|worst,-0.006423367718725232,-0.7009570023257463,0.2514716352842073,26.377469564345187,0.5564472506664473,3906
