entry,formation,days,gross_ann,gross_t,net_ann,net_t
1.5,126,4032,-0.003187008094851512,-0.5565849557264894,-0.021057271252746253,-3.6648648687410605
1.5,252,3906,0.006090656791764463,1.2449964451345477,-0.004288698046945219,-0.8766176944617005
2.0,126,4032,-0.0015127828970143066,-0.2927215631518602,-0.016223046054909047,-3.135143544255081
2.0,252,3906,0.005798317978844916,1.4969680784282875,-0.0026197465372841196,-0.673121760948975
2.5,126,4032,-0.0010688113493631645,-0.24928529443679812,-0.013504337665152641,-3.1051828481754193
2.5,252,3906,0.007727022583728377,2.3075126481814623,0.0005941193579219246,0.17824423802758038
