config,n_days,cagr,ann_simple,ann_vol,sharpe,max_dd,calmar,worst_day,best_day,positive_day_share
cc|always|none|off|off,4528,0.1703622756206471,0.2150024571091602,0.34035083185950105,0.631708334410402,0.7038929134852554,0.24202868413195883,-0.10893429929706568,0.1785319137383454,0.5342314487632509
cc|always|none|off|vt15,4528,0.08767492598265747,0.08962547050826938,0.10552326774387151,0.8493432057639684,0.24722348234018954,0.35463834241285064,-0.03174405521407715,0.028215243482907344,0.5399734982332155
cc|always|none|off|vt20,4528,0.11218957104704841,0.11596316914753592,0.13860883007745428,0.8366218016755208,0.31990417819650074,0.350697423458271,-0.04098592376088535,0.036641320047139464,0.5393109540636042
cc|always|none|qqq200|off,4528,0.12192112828950608,0.13641856941130523,0.20659407611140929,0.6603217864666132,0.5555726621295551,0.21945127361409844,-0.0857552731434389,0.11567551230748535,0.3833922261484099
cc|always|none|qqq200|vt15,4528,0.06555208356657283,0.06705207497031428,0.08423527711354424,0.7960094305849079,0.18458614690364672,0.35513002826149664,-0.03174405521407715,0.028215243482907344,0.3873674911660777
cc|always|none|qqq200|vt20,4528,0.08354650458152624,0.0862852176370326,0.10977678949838615,0.7860060221409654,0.23935403961382384,0.34904990413498344,-0.04098592376088535,0.0297321664724132,0.38670494699646646
cc|always|p70x0|off|off,4528,0.17048815474902534,0.20663121090045117,0.3144676690684155,0.6570825277923771,0.7155713355269033,0.23825458942327282,-0.09811868408525011,0.1785319137383454,0.5099381625441696
cc|always|p70x0|off|vt15,4528,0.08541419863524902,0.08722048743829332,0.10240970141577621,0.8516818839670692,0.256320055700608,0.33323260016382095,-0.03174405521407715,0.028215243482907344,0.5154593639575972
cc|always|p70x0|off|vt20,4528,0.1092682014279105,0.11275652505423449,0.13439256349254938,0.8390086633066243,0.33055199609020824,0.33056282436754975,-0.04098592376088535,0.036641320047139464,0.5147968197879859
cc|always|p70x0|qqq200|off,4528,0.13081737848862063,0.14400482508900891,0.20505820551414142,0.7022631682938332,0.5555726621295551,0.23546403091035292,-0.0857552731434389,0.11567551230748535,0.3820671378091873
cc|always|p70x0|qqq200|vt15,4528,0.06778579438881915,0.06912147718475188,0.08393457716437104,0.823516118385748,0.18458614690364672,0.36723121169110856,-0.03174405521407715,0.028215243482907344,0.38604240282685515
cc|always|p70x0|qqq200|vt20,4528,0.08658805348931309,0.08904442058961606,0.10936686859057204,0.8141809465439164,0.23935403961382384,0.3617572263623171,-0.04098592376088535,0.0297321664724132,0.38537985865724383
cc|always|p70x50|off|off,4528,0.17291014711080588,0.2108168340048057,0.3211287522641987,0.6564869464922989,0.7074471025901148,0.24441424168357598,-0.09811868408525011,0.1785319137383454,0.5342314487632509
cc|always|p70x50|off|vt15,4528,0.08663205685202979,0.08842297897328134,0.10319488324012711,0.856854295455012,0.25160453774234226,0.3443183403184329,-0.03174405521407715,0.028215243482907344,0.5399734982332155
cc|always|p70x50|off|vt20,4528,0.11088797976183074,0.1143598471008852,0.13545628529558792,0.844256483568357,0.3249588583254106,0.34123698099280186,-0.04098592376088535,0.036641320047139464,0.5393109540636042
cc|always|p70x50|qqq200|off,4528,0.1264483477432241,0.14021169725015706,0.205448526061035,0.6824663089016405,0.5555726621295551,0.22760001771602173,-0.0857552731434389,0.11567551230748535,0.3833922261484099
cc|always|p70x50|qqq200|vt15,4528,0.06667493765629029,0.06808677607753308,0.0840115425576178,0.8104454936157969,0.18458614690364672,0.36121311796542543,-0.03174405521407715,0.028215243482907344,0.3873674911660777
cc|always|p70x50|qqq200|vt20,4528,0.08507811443316693,0.08766481911332435,0.10947171976449746,0.8007987752628213,0.23935403961382384,0.35544883458174675,-0.04098592376088535,0.0297321664724132,0.38670494699646646
cc|always|p80x0|off|off,4528,0.19269383260304163,0.22892230182070578,0.32537786767119414,0.7035583073278969,0.7038929134852554,0.27375447161264543,-0.10366776079193847,0.1785319137383454,0.5242932862190812
