config,n_days,cagr,ann_simple,ann_vol,sharpe,max_dd,calmar,worst_day,best_day,positive_day_share
cc|always|none|off|off,2169,0.39849328627726166,0.38708678597093377,0.3206977779025508,1.2070142440729863,0.4580573698688194,0.8699637043093184,-0.14953416257821697,0.1659952162697923,0.5652374366067312
cc|always|none|off|vt15,2169,0.14983765956086348,0.14594815542794198,0.11211448298332265,1.3017778929565433,0.2027314980906254,0.7390941268232664,-0.027166226485939665,0.035813338613134287,0.5638543107422775
cc|always|none|off|vt20,2169,0.1970333692308197,0.1909194957244188,0.14831055519395825,1.287295401697723,0.26291218354034296,0.7494265445503236,-0.03615456750105364,0.047751118150845734,0.5643153526970954
cc|always|none|qqq200|off,2169,0.33135951398068086,0.3165901018619634,0.24557264704332088,1.2891912257887357,0.2734167419947173,1.2119210826785547,-0.08023887457884939,0.07373596765904628,0.4633471645919779
cc|always|none|qqq200|vt15,2169,0.13698812806513905,0.13297197847994927,0.09542853061747493,1.3934195320785894,0.11437390135957826,1.1977219141494901,-0.02579786194582298,0.028416460951019455,0.4624250806823421
cc|always|none|qqq200|vt20,2169,0.18026813892873772,0.17372947952358353,0.12589291775424138,1.379978180049215,0.1539728578548586,1.1707786777502447,-0.03439714926109731,0.03682539280177469,0.46288612263716
cc|always|p70x0|off|off,2169,0.3320608864789134,0.3150428339730389,0.23702347292763085,1.3291630152986127,0.3520785644647988,0.9431442865136802,-0.07389188213878978,0.07373596765904628,0.4449054863992623
cc|always|p70x0|off|vt15,2169,0.13517198326742963,0.13143701336982488,0.09609796228964394,1.367739858766904,0.15844071239301294,0.8531392040963239,-0.027166226485939665,0.028416460951019455,0.4449054863992623
cc|always|p70x0|off|vt20,2169,0.17759613914594308,0.1715713063135959,0.12675509131601456,1.3535654034270665,0.20630430998243088,0.8608455109884392,-0.03615456750105364,0.03682539280177469,0.44536652835408025
cc|always|p70x0|qqq200|off,2169,0.31276930221502797,0.29671757527674764,0.2208076498598593,1.3437830413260878,0.25254175073160656,1.2384855229242049,-0.07389188213878978,0.07373596765904628,0.4140156754264638
cc|always|p70x0|qqq200|vt15,2169,0.13009333484072627,0.12642060138466166,0.09041981488247462,1.3981515174409496,0.10587421045760625,1.2287537661763035,-0.02579786194582298,0.028416460951019455,0.4140156754264638
cc|always|p70x0|qqq200|vt20,2169,0.17097896891670983,0.16499431006319995,0.11913821564398881,1.3848982811379282,0.1431222121227954,1.1946361531221583,-0.03439714926109731,0.03682539280177469,0.4144767173812817
cc|always|p70x50|off|off,2169,0.37287035884771025,0.3510648099719863,0.26038780090873964,1.3482383151084218,0.3954734372200739,0.9428455207225829,-0.07476708128910849,0.08299760813489615,0.5652374366067312
cc|always|p70x50|off|vt15,2169,0.14295967434075907,0.13869258439888343,0.10032318783590646,1.3824579081930275,0.1778686680518876,0.8037372512344617,-0.027166226485939665,0.028416460951019455,0.5638543107422775
cc|always|p70x50|off|vt20,2169,0.18815900122294127,0.18124540101900735,0.13244831271872795,1.3684236310650983,0.2309607391509988,0.8146795940929408,-0.03615456750105364,0.03682539280177469,0.5643153526970954
