config,S_cagr,S_dd,S_calmar,V_cagr,V_dd,V_calmar,V_vol,V_monthly_win,V_sharpe,S_turnover_yr,V_turnover_yr
N20|EW|band+|gate-,0.2844304582376005,0.32145323850298135,0.8848268555706665,0.4877564127695433,0.4810723447954298,1.0138941014723177,0.43091777043172036,0.6455696202531646,1.139962110047794,5.364313951217567,5.478469637260102
N20|IVOL|band+|gate-,0.25004406310885097,0.32404003775355394,0.7716455807199355,0.4486140361617288,0.4683872413288379,0.9577844923550617,0.40510216065414584,0.6582278481012658,1.1200984814988102,5.977141809200484,6.142009919232435
N50|EW|band+|gate-,0.2134394682758738,0.2967799199943718,0.7191843312038142,0.35178248546651614,0.46875767196391016,0.7504570197063356,0.37803661140940914,0.6075949367088608,0.9885718942676774,4.807180668940131,5.018519846762944
N20|EW|band-|gate-,0.2738452313520101,0.38404287294937733,0.7130590114820515,0.49698376537392197,0.4618681981293691,1.076029411392202,0.42688482433721864,0.6455696202531646,1.161321312805024,8.863135859000813,8.688976196965914
N50|EW|band-|gate-,0.21784647555328407,0.32753952771122474,0.6650998036040048,0.3354255292057542,0.4814373010033137,0.6967169525641833,0.3810988305958558,0.6075949367088608,0.9517822771652835,8.017444745609584,8.17723154622273
N20|IVOL|band-|gate-,0.23836030543946074,0.3740965586883631,0.6371625183487029,0.4579874090504201,0.44510502983644895,1.0289423357419814,0.40203388611894114,0.6455696202531646,1.1417239649571038,10.008232560376078,9.785159867028499
N50|IVOL|band+|gate-,0.18002346140392578,0.292438032221606,0.6155952426444525,0.3008714103793797,0.46636121013030685,0.6451467314258676,0.34227178741838366,0.6329113924050633,0.9421004629100459,5.459769453647802,5.636767120564847
N50|IVOL|band-|gate-,0.187563325385399,0.3174026200520176,0.5909318749626583,0.28072906063227965,0.4826382940541082,0.581655173430576,0.3484593493337721,0.6455696202531646,0.8867771242842137,9.053421602672543,9.188620393550334
N20|IVOL|band+|gate+,0.13219190196729547,0.2584113760198228,0.5115560468094679,0.1685736494389538,0.35440144920677863,0.47565733666229465,0.27264349333241644,0.43037974683544306,0.7087352706585968,10.421062902307817,9.083918390030888
N20|EW|band+|gate+,0.1440147533944678,0.294392670921652,0.4891927266517958,0.17409093546900944,0.3838962916636832,0.4534842853379887,0.29362518701248397,0.4177215189873418,0.6942956807375787,9.88752351860086,8.618235091229915
N20|EW|band-|gate+,0.13817334057299302,0.3162293029485951,0.436940344505183,0.15764988462604568,0.40242263102153697,0.39175203498336186,0.2904440366469701,0.43037974683544306,0.6501512891863812,12.997078134065989,10.52068622978373
N20|IVOL|band-|gate+,0.12287179016029892,0.29358720728112386,0.4185188833607565,0.1493645006821176,0.37759884407583166,0.3955639775531763,0.26923572559643905,0.4050632911392405,0.6527482218800915,14.007443946095202,11.23420827881998
N50|EW|band+|gate+,0.09502863494278224,0.264433397542165,0.3593669930729137,0.13753560532775966,0.3689185037403271,0.3728075548755009,0.2553622442324025,0.4050632911392405,0.6327992595446422,9.60524432396912,8.397266916903604
N50|EW|band-|gate+,0.10659540501259168,0.3008671903586084,0.35429388257835265,0.1263682054592854,0.3835538669054901,0.3294666443564321,0.25628779489586606,0.4050632911392405,0.5927847877161965,12.282935264281845,10.290192712051859
N50|IVOL|band-|gate+,0.09134549722188035,0.31231051641874896,0.2924829373962016,0.10354431245371098,0.36466677135817327,0.28394227438948766,0.2231934407672689,0.4177215189873418,0.5536829005534694,13.155693673131601,10.929316713129882
N50|IVOL|band+|gate+,0.0792901903575185,0.27432100268647897,0.28904163217914136,0.11851082535812263,0.35017134640511427,0.3384366727168393,0.21972522051217083,0.4177215189873418,0.6204048374065105,10.158848894702878,8.78342731384212
