config,S_cagr,S_dd,S_calmar,V_cagr,V_dd,V_calmar,V_vol,V_monthly_win,V_sharpe,S_turnover_yr,V_turnover_yr
N20|EW|band-|gate-,0.3160696428643457,0.3552236311665642,0.889776510156051,0.4828035883445747,0.4467320541562587,1.0807453457899818,0.414502643374596,0.6455696202531646,1.1606147738137844,8.85648815791057,8.583810813157667
N20|EW|band+|gate-,0.2711676083968044,0.3334023584704503,0.8133344036342149,0.4872395805594958,0.46825966665405105,1.040532882195611,0.4163650403732641,0.6708860759493671,1.1642572285014503,5.3940803937102855,5.286177166517269
N20|IVOL|band-|gate-,0.2752402996322667,0.3433418795166586,0.8016508210991846,0.44664260027712177,0.4324827530998856,1.0327408366593658,0.39590156207022753,0.6329113924050633,1.1334958456206898,9.870889833921414,9.61995690352158
N50|EW|band+|gate-,0.23298275112380762,0.2988303204814473,0.7796489685131271,0.3344770587070105,0.45506711179326254,0.7350060024969762,0.3723867129547728,0.6329113924050633,0.9632019840246973,4.859939738968307,5.020883089111635
N50|EW|band-|gate-,0.23434220295286567,0.31932908761792145,0.7338579917694722,0.31025907699056576,0.47116305707267847,0.6584961879613309,0.3753460683295638,0.6329113924050633,0.9098029277930988,8.029062640070105,8.180396233239978
N20|IVOL|band+|gate-,0.23163137623030927,0.33986118294379275,0.6815470193564799,0.45087946081568386,0.46104179355435937,0.9779578925799114,0.39578238532848103,0.6582278481012658,1.1409893635885815,6.033561462466441,5.951343362128684
N50|IVOL|band+|gate-,0.19688255076122196,0.3013635968371051,0.65330568398957,0.28418055270741704,0.4524379186774313,0.6281094951946887,0.33868749494968886,0.6329113924050633,0.9101624471062119,5.491510820452262,5.646267072761229
N50|IVOL|band-|gate-,0.2013811990370502,0.32001222352784864,0.6292922089569034,0.26009229697243086,0.47450806765599585,0.5481304000946724,0.34433336175848084,0.6329113924050633,0.845948902966471,9.051203871799263,9.18663004331556
N20|IVOL|band-|gate+,0.15866234919930977,0.26008316502113316,0.6100446723893782,0.13421431175084342,0.3837056815506019,0.3497845307071473,0.2622402944963157,0.4177215189873418,0.6124418212752523,13.79954030919693,11.22714198941184
N20|EW|band-|gate+,0.17995990070923207,0.2972570258944668,0.6054016727366507,0.14470127326142657,0.3956955976829529,0.36568835768895,0.2771287588010499,0.4177215189873418,0.6272679069225072,12.93758532253199,10.533301713488937
N20|EW|band+|gate+,0.14610315200443758,0.2829115992513448,0.5164268711182689,0.1721031839636129,0.3663946268153101,0.4697208183960776,0.2790959841585498,0.43037974683544306,0.7095073867250061,9.96274602444521,8.474117372811797
N20|IVOL|band+|gate+,0.12429046449880587,0.25736079166292447,0.48294250144207657,0.1628541935862402,0.34257843706602376,0.47537782874190054,0.2635159965004189,0.43037974683544306,0.7053578391055987,10.518733962208035,8.90211377114989
N50|EW|band-|gate+,0.11972649680686609,0.27495648674396866,0.4354379786586081,0.10993988853538439,0.37729322480269945,0.2913911019549212,0.25152815925585015,0.43037974683544306,0.5408020887451864,12.300110443818475,10.27238610828775
N50|EW|band+|gate+,0.11058938871855872,0.25844188485199493,0.4279081495706135,0.12179004684082395,0.3575706718697125,0.34060412786091254,0.25122593659893633,0.43037974683544306,0.5836187336701348,9.6536540101057,8.40779752226598
N50|IVOL|band-|gate+,0.10291894504729737,0.2806786156965896,0.3666789676579836,0.08700026940214212,0.3630272828975135,0.23965215150703487,0.21998720263408555,0.43037974683544306,0.48984704724315525,13.134153663747515,10.887283282050527
N50|IVOL|band+|gate+,0.0934461114201579,0.2633967947389968,0.3547731532297302,0.09918802539283877,0.3417262243781921,0.2902558197671897,0.21802648818088746,0.4177215189873418,0.5436218200143467,10.185016678962612,8.819006132792321
